team,current_elo,total_matches,total_goals,total_wins,win_rate
Abkhazia,1553.2160133999864,33,54,15,0.455
Afghanistan,1331.7712439680333,147,142,36,0.245
Albania,1539.7561232420387,398,377,110,0.276
Alderney,1202.688202768362,135,73,5,0.037
Algeria,1764.5474584981837,621,958,289,0.465
American Samoa,1267.8791784165028,55,33,4,0.073
Andalusia,1546.5328748792983,13,25,8,0.615
Andorra,1187.2409899241627,229,75,14,0.061
Angola,1540.7913057802557,415,470,141,0.34
Anguilla,1188.1579903172153,91,52,7,0.077
Antigua and Barbuda,1313.6371137369222,231,306,71,0.307
Arameans Suryoye,1518.9954757511696,10,16,5,0.5
Argentina,1988.7673974253057,1077,2047,599,0.556
Armenia,1418.4380982050648,272,274,65,0.239
Artsakh,1515.5519686125008,11,32,6,0.545
Aruba,1313.8091292440947,152,199,32,0.211
Australia,1746.751836038248,585,1170,297,0.508
Austria,1728.94734958692,864,1547,368,0.426
Aymara,1484.188210821744,2,1,0,0.0
Azerbaijan,1390.1295989853177,310,238,61,0.197
Bahamas,1272.7022787985265,67,75,14,0.209
Bahrain,1523.717545837115,584,725,207,0.354
Bangladesh,1259.4687510099834,305,276,80,0.262
Barawa,1438.7695467512872,12,16,3,0.25
Barbados,1305.3015112764642,302,393,94,0.311
Basque Country,1664.3989582069512,64,164,39,0.609
Belarus,1521.3922536161967,315,363,94,0.298
Belgium,1838.3808268403993,859,1564,385,0.448
Belize,1357.4584154806716,121,133,31,0.256
Benin,1514.106867542869,325,352,84,0.258
Bermuda,1400.390243695738,198,328,68,0.343
Bhutan,1111.4421476273214,110,61,11,0.1
Biafra,1508.3814895755447,3,2,2,0.667
Bolivia,1556.9934511665424,534,545,119,0.223
Bonaire,1361.3057664493792,44,63,14,0.318
Bosnia and Herzegovina,1582.658511527005,287,393,105,0.366
Botswana,1427.680450643513,332,268,90,0.271
Brazil,1917.611360180633,1064,2315,675,0.634
British Virgin Islands,1251.4873699967968,123,114,22,0.179
Brittany,1507.56207733913,12,18,6,0.5
Brunei,1144.6030802124055,137,107,22,0.161
Bulgaria,1503.883217047811,736,1016,262,0.356
Burkina Faso,1617.8166378894691,464,580,164,0.353
Burundi,1428.930396006393,218,237,65,0.298
Cambodia,1197.0877319933245,295,330,65,0.22
Cameroon,1647.3718497439136,616,866,271,0.44
Canada,1717.3733575614003,474,617,181,0.382
Canton Ticino,1475.201534131218,5,6,1,0.2
Cape Verde,1601.0967614015476,239,262,89,0.372
Cascadia,1515.602756891726,7,23,4,0.571
Catalonia,1561.1665403222817,48,75,19,0.396
Cayman Islands,1263.5208629986546,119,117,25,0.21
Central African Republic,1410.6751888069514,138,146,29,0.21
Central Spain,1500.2367718359085,2,2,1,0.5
Chad,1334.6931776243339,138,117,26,0.188
Chagos Islands,1451.3007675203296,16,28,3,0.188
Chameria,1511.7326675824972,7,14,3,0.429
Chechnya,1486.647050570677,3,3,0,0.0
Chile,1700.5613972431192,835,1177,316,0.378
China,1532.1760441914844,702,1285,339,0.483
Colombia,1882.7936993725314,643,828,261,0.406
Comoros,1454.6242115536045,151,134,36,0.238
Congo,1404.9787403281603,406,523,134,0.33
Cook Islands,1365.4703183658912,53,43,11,0.208
Corsica,1523.2872069329067,9,10,4,0.444
Costa Rica,1648.1730927514177,724,1238,316,0.436
County of Nice,1537.0493781363807,9,19,6,0.667
Croatia,1808.6000522398779,400,694,211,0.528
Cuba,1449.8745148049773,397,532,139,0.35
Curaçao,1493.9846390008545,388,636,143,0.369
Cyprus,1373.189921918496,426,375,82,0.192
Czech Republic,1676.2562053736065,363,645,191,0.526
Czechoslovakia,1677.061447022004,520,984,236,0.454
DR Congo,1632.7833869473095,528,784,207,0.392
Darfur,1447.8233991081183,7,1,0,0.0
Denmark,1769.3268932758915,874,1587,402,0.46
Djibouti,1206.5709392506265,111,74,7,0.063
Dominica,1316.3409363466405,215,250,52,0.242
Dominican Republic,1446.7504243167466,159,266,62,0.39
Donetsk PR,1506.0250386714395,6,8,2,0.333
Ecuador,1799.283436372682,595,719,184,0.309
Egypt,1722.7143144981417,761,1233,380,0.499
El Salvador,1495.8436338649094,614,766,200,0.326
Ellan Vannin,1534.7983746427728,22,54,11,0.5
England,1883.3441427768512,1098,2401,631,0.575
Equatorial Guinea,1454.679999901007,179,156,49,0.274
Eritrea,1332.0746303920412,71,48,11,0.155
Estonia,1429.492899656088,550,544,136,0.247
Eswatini,1369.7379778089046,274,231,55,0.201
Ethiopia,1425.765442614277,409,549,144,0.352
Falkland Islands,1375.8455212590038,33,31,6,0.182
Faroe Islands,1361.0977572761922,287,240,57,0.199
Felvidék,1503.7307545241495,12,14,5,0.417
Fiji,1494.022410026917,268,608,116,0.433
Finland,1553.022881017912,818,960,216,0.264
France,1914.8224358675989,943,1735,483,0.512
Franconia,1507.3124841185206,3,8,2,0.667
French Guiana,1450.8180956473307,179,267,54,0.302
Frøya,1373.1342060470508,37,60,7,0.189
Gabon,1520.4076240287727,405,477,141,0.348
Galicia,1512.388423098405,12,21,5,0.417
Gambia,1490.4003902195427,266,279,73,0.274
Georgia,1578.6124329855952,307,383,100,0.326
German DR,1651.0051119420573,298,506,140,0.47
Germany,1836.5651439698286,1035,2331,601,0.581
Ghana,1596.348394359503,675,1054,312,0.462
Gibraltar,1265.7159269740832,159,177,39,0.245
Gotland,1456.781664178618,30,81,11,0.367
Gozo,1477.930875674851,14,31,4,0.286
Greece,1664.9229682160867,633,794,240,0.379
Greenland,1471.7506592469383,80,153,27,0.338
Grenada,1346.2914510939454,260,422,86,0.331
Guadeloupe,1501.1958473451768,271,463,115,0.424
Guam,1226.9279388087825,123,140,25,0.203
Guatemala,1558.1479455283215,554,774,199,0.359
Guernsey,1663.9812857178483,240,616,145,0.604
Guinea,1546.8125768646516,539,730,200,0.371
Guinea-Bissau,1401.0367289862065,190,189,52,0.274
Guyana,1475.1677515219499,313,428,103,0.329
Haiti,1592.6195788151852,513,840,216,0.421
Hitra,1436.257357756838,23,37,6,0.261
Hmong,1490.232354067838,3,6,1,0.333
Honduras,1590.8484654386648,620,909,247,0.398
Hong Kong,1366.2790007769452,447,648,143,0.32
Hungary,1662.3627963710405,1006,2011,472,0.469
Iceland,1558.8764383598943,522,632,159,0.305
India,1354.6848601549677,534,730,190,0.356
Indonesia,1461.58684166825,728,1213,282,0.387
Iran,1787.433307566903,615,1158,349,0.567
Iraq,1647.4644246996984,658,1006,304,0.462
Iraqi Kurdistan,1550.8547794303522,27,61,13,0.481
Isle of Man,1606.318600543961,58,186,35,0.603
Isle of Wight,1574.275820558457,48,113,26,0.542
Israel,1587.6949431247951,498,750,181,0.363
Italy,1826.570047890636,893,1565,477,0.534
Ivory Coast,1720.1708137521516,640,1047,327,0.511
Jamaica,1600.8150159298368,663,882,258,0.389
Japan,1809.636975907042,794,1451,391,0.492
Jersey,1712.4700607425116,235,645,153,0.651
Jordan,1619.8444524025117,488,622,180,0.369
Kabylia,1484.4916332091539,6,8,1,0.167
Kazakhstan,1435.2911469677592,269,309,71,0.264
Kenya,1484.5680053922447,706,978,268,0.38
Kernow,1541.6733549266933,12,32,7,0.583
Kiribati,1428.3714161487192,11,7,0,0.0
Kosovo,1582.0141856356627,106,156,43,0.406
Kurdistan,1527.922243732885,5,12,4,0.8
Kuwait,1472.3495996773654,684,1067,285,0.417
Kyrgyzstan,1430.0430080102044,191,220,57,0.298
Kárpátalja,1534.988697066514,11,25,5,0.455
Laos,1148.43582739183,224,227,42,0.188
Latvia,1346.0365117594702,461,541,128,0.278
Lebanon,1463.8711576341489,333,385,93,0.279
Lesotho,1403.134175520436,296,230,54,0.182
Liberia,1412.507199814749,302,270,79,0.262
Libya,1523.959299175944,384,500,143,0.372
Liechtenstein,1131.044918863714,259,105,19,0.073
Lithuania,1342.3262896698075,433,431,111,0.256
Luhansk PR,1496.1334953436829,6,9,2,0.333
Luxembourg,1383.0744838148453,467,296,50,0.107
Macau,1124.8688052570865,148,114,21,0.142
Madagascar,1463.9836981628591,320,434,118,0.369
Malawi,1441.075811366223,644,753,219,0.34
Malaysia,1477.2532466497673,835,1363,327,0.392
Maldives,1218.1245275194988,233,277,63,0.27
Mali,1637.8738862425537,569,746,232,0.408
Malta,1319.2327484414454,458,298,65,0.142
Manchukuo,1472.0966069880647,3,0,0,0.0
Marshall Islands,1474.92364653399,2,2,0,0.0
Martinique,1494.6738856363904,331,586,145,0.438
Matabeleland,1500.1889732742575,8,7,3,0.375
Mauritania,1454.9138188080494,273,198,52,0.19
Mauritius,1289.5622591641531,325,412,91,0.28
Mayotte,1461.6897242850782,38,51,11,0.289
Menorca,1522.255508300219,25,56,11,0.44
Mexico,1809.4740357316073,1008,1777,518,0.514
Micronesia,1459.9776058559787,7,8,1,0.143
Moldova,1328.6718412542375,299,243,58,0.194
Monaco,1501.7035819166292,24,41,8,0.333
Mongolia,1227.5096235562878,103,117,25,0.243
Montenegro,1504.3806855320763,170,201,58,0.341
Montserrat,1364.064932066016,66,72,17,0.258
Morocco,1811.2804111001888,623,926,309,0.496
Mozambique,1470.9210169757212,375,387,118,0.315
Myanmar,1271.6291596193325,512,821,210,0.41
Namibia,1459.8181618802805,279,273,70,0.251
Nepal,1260.6844475881153,268,229,63,0.235
Netherlands,1843.1715118826069,883,1852,455,0.515
New Caledonia,1552.0893107480451,267,701,137,0.513
New Zealand,1600.1197530723805,419,733,172,0.411
Nicaragua,1439.78766535225,222,234,51,0.23
Niger,1433.0034626467225,260,256,61,0.235
Nigeria,1711.1014428357776,661,1008,311,0.47
North Korea,1535.1969234184216,390,628,162,0.415
North Macedonia,1544.3490505809255,306,365,95,0.31
North Vietnam,1473.5423920172182,24,49,7,0.292
Northern Cyprus,1594.1486573108107,39,120,25,0.641
Northern Ireland,1551.8454870185883,707,741,185,0.262
Northern Mariana Islands,1310.469043876645,30,27,4,0.133
Norway,1741.0066039897854,878,1364,332,0.378
Occitania,1569.9633536237054,33,103,19,0.576
Oman,1574.3067349777937,543,701,206,0.379
Orkney,1445.535090283876,28,38,9,0.321
Padania,1598.238146297237,48,129,32,0.667
Pakistan,1230.2818333029384,251,236,55,0.219
Palestine,1532.11201887437,249,332,74,0.297
Panama,1675.2609065540166,542,679,183,0.338
Panjab,1524.8667756428408,19,54,9,0.474
Papua New Guinea,1470.4983482018968,155,336,52,0.335
Paraguay,1723.9257394302354,788,1006,276,0.35
Parishes of Jersey,1505.541419880145,3,11,2,0.667
Peru,1675.5712589231366,714,859,231,0.324
Philippines,1379.884439250478,342,413,93,0.272
Poland,1680.0925229028346,892,1499,384,0.43
Portugal,1870.361352735942,700,1235,351,0.501
Provence,1465.1462034506283,23,73,8,0.348
Puerto Rico,1380.4310656449352,163,205,41,0.252
Qatar,1551.1444534772374,638,897,260,0.408
Quebec,1508.2314770967264,3,24,2,0.667
Raetia,1434.5743411699857,29,48,6,0.207
Republic of Ireland,1629.6654640423208,633,858,243,0.384
Rhodes,1540.6846753892505,18,29,11,0.611
Romani people,1484.0972050723349,7,13,2,0.286
Romania,1615.118045071796,766,1239,335,0.437
Rouet-Provence,1484.3160119442396,3,3,0,0.0
Russia,1717.5427047420274,749,1301,385,0.514
Rwanda,1442.9907542008295,280,289,88,0.314
Réunion,1550.5271584181303,124,219,53,0.427
Saare County,1399.0884217589846,35,41,5,0.143
Saarland,1462.1272563016078,9,10,1,0.111
Saint Barthélemy,1466.8423392999132,10,25,4,0.4
Saint Helena,1446.9632682342262,8,6,0,0.0
Saint Kitts and Nevis,1387.0175848475376,226,387,90,0.398
Saint Lucia,1357.4149231519998,230,327,80,0.348
Saint Martin,1396.4007631907325,68,101,25,0.368
Saint Pierre and Miquelon,1444.5159127571415,7,2,0,0.0
Saint Vincent and the Grenadines,1412.7296218819745,236,372,88,0.373
Samoa,1373.1298471433304,71,99,22,0.31
San Marino,1039.3471411930805,225,44,3,0.013
Sark,1467.7559286291976,4,0,0,0.0
Saudi Arabia,1615.8178433031915,744,1139,351,0.472
Scotland,1659.706983853171,854,1455,403,0.472
Sealand,1503.35012791872,12,27,4,0.333
Senegal,1766.8293277744233,642,892,299,0.466
Serbia,1704.093465033211,348,531,155,0.445
Seychelles,1188.34220206083,176,135,26,0.148
Shetland,1484.378160357345,58,101,21,0.362
Sierra Leone,1465.9979887933214,301,290,91,0.302
Singapore,1357.2550175033484,696,938,219,0.315
Sint Maarten,1419.0873885444405,60,88,20,0.333
Slovakia,1620.4172625189713,367,518,149,0.406
Slovenia,1635.6819121773453,317,392,114,0.36
Solomon Islands,1468.1789479089437,214,462,90,0.421
Somalia,1215.4604299974496,124,62,11,0.089
Somaliland,1493.4079348203593,6,14,2,0.333
South Africa,1608.0376367317617,484,652,216,0.446
South Korea,1749.0146462506204,1010,1794,539,0.534
South Ossetia,1484.6528762568425,17,35,5,0.294
South Sudan,1345.841461286039,78,50,12,0.154
Spain,1983.3215327820085,791,1616,468,0.592
Sri Lanka,1179.6099634029488,251,237,49,0.195
Sudan,1463.045018968407,469,508,151,0.322
Suriname,1519.0140407434358,399,750,173,0.434
Sweden,1688.8785230987164,1105,2178,542,0.49
Switzerland,1783.4557763383077,890,1330,319,0.358
Syria,1548.6651128747633,484,692,173,0.357
Székely Land,1468.9355237161828,27,56,9,0.333
Sápmi,1466.0403487897281,31,93,12,0.387
São Tomé and Príncipe,1308.9907231683446,71,53,9,0.127
Tahiti,1533.852901683813,244,660,132,0.541
Taiwan,1257.3896181709224,245,320,68,0.278
Tajikistan,1463.5030598014494,201,299,78,0.388
Tamil Eelam,1532.8566479594758,28,72,16,0.571
Tanzania,1422.9369537398745,599,660,163,0.272
Thailand,1528.4549801917299,865,1390,339,0.392
Tibet,1393.4337545364046,21,30,1,0.048
Timor-Leste,1162.3678772356368,86,71,9,0.105
Togo,1469.73306603286,447,492,141,0.315
Tonga,1313.465422188723,68,81,16,0.235
Trinidad and Tobago,1508.8199932334342,753,1268,321,0.426
Tunisia,1658.7402269782888,681,976,296,0.435
Turkey,1749.2447989525701,645,902,260,0.403
Turkmenistan,1429.0792838790405,175,265,64,0.366
Turks and Caicos Islands,1321.68371670874,52,52,12,0.231
Tuvalu,1389.7323380485293,39,45,8,0.205
Uganda,1512.4568916968838,685,1030,285,0.416
Ukraine,1742.9320045163672,338,475,152,0.45
United Arab Emirates,1586.416583526657,612,867,246,0.402
United Koreans in Japan,1498.4179395390195,12,20,3,0.25
United States,1695.5569574383585,795,1211,354,0.445
United States Virgin Islands,1240.3264379578004,78,54,10,0.128
Uruguay,1806.948282732789,973,1537,428,0.44
Uzbekistan,1667.5414738582574,357,615,169,0.473
Vanuatu,1467.5521479535191,214,403,69,0.322
Vatican City,1457.0512395710439,8,6,0,0.0
Venezuela,1683.1189308559706,460,483,117,0.254
Vietnam,1498.5335485630164,297,489,128,0.431
Vietnam Republic,1431.2553700676526,195,364,82,0.421
Wales,1637.0902258458884,726,910,234,0.322
Wallis Islands and Futuna,1414.958614696528,24,23,5,0.208
Western Armenia,1491.6520984834638,16,34,5,0.312
Western Australia,1452.066352208748,32,63,11,0.344
Western Isles,1479.2399063957512,34,51,13,0.382
Western Sahara,1473.8890467957406,9,16,2,0.222
Yemen,1355.5304560327297,266,259,53,0.199
Yemen DPR,1443.0758430028202,25,25,5,0.2
Ynys Môn,1597.7897095560877,67,125,37,0.552
Yorkshire,1524.3510907575776,7,27,5,0.714
Yugoslavia,1705.3335508545301,483,942,223,0.462
Zambia,1531.9141318469422,793,1234,358,0.451
Zanzibar,1469.0107962005832,209,191,44,0.211
Zimbabwe,1484.5074665929412,496,660,190,0.383
Åland Islands,1492.282358741603,51,77,21,0.412
